addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
전라남도 신안군 흑산면 가거도길 38-2,(흑산면),38,0,A01,A0101,A01011300,127480,12,20030905090000,,,,125.1125145360,34.0740166502,6,20230918102221,12,,가거도(소흑산도),58866
전라남도 진도군 고군면 신비의바닷길 47,(고군면),38,0,A01,A0101,A01011200,126273,12,20031107090000,http://tong.visitkorea.or.kr/cms/resource/17/1608017_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/1608017_image3_1.jpg,Type3,126.3547412438,34.4354594945,6,20230703110809,21,,가계해변,58911
경상남도 창원시 마산합포구 성호서7길 15-8,,36,0,A02,A0203,A02030100,2019720,12,20150721030848,http://tong.visitkorea.or.kr/cms/resource/55/2033255_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2033255_image3_1.jpg,Type3,128.5696552845,35.2077664004,6,20230412105954,16,,가고파 꼬부랑길 벽화마을,51281
강원특별자치도 삼척시 가곡면 탕곡리,509-3,32,,A02,A0202,A02020300,2994116,12,20230717155822,http://tong.visitkorea.or.kr/cms/resource/54/2994054_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2994054_image3_1.jpg,Type3,129.2062296318,37.1507494904,6,20230807093649,4,033-572-1800,가곡유황온천&스파,25954
경기도 양주시 장흥면 권율로 117,,31,0,A02,A0202,A02020600,129194,12,20060807090000,http://tong.visitkorea.or.kr/cms/resource/46/2010746_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2010746_image3_1.jpg,Type3,126.9497496852,37.7254519094,6,20231213141137,18,,가나아트파크,11520
경기도 여주시 가남읍 대명산길 98,,31,0,A02,A0202,A02020700,2777865,12,20211123182854,http://tong.visitkorea.or.kr/cms/resource/71/2777971_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2777971_image2_1.jpg,Type3,127.5349142281,37.2017093544,6,20230206130357,20,,가남체육공원,12662
부산광역시 강서구 천성동 308-2,,6,0,A01,A0101,A01011300,2715601,12,20210508004846,http://tong.visitkorea.or.kr/cms/resource/61/2716261_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2716261_image3_1.jpg,Type3,128.8169442487,35.0229638330,6,20230707163011,1,,가덕도,
부산광역시 강서구 외양포로 10,,6,0,A01,A0101,A01011600,129156,12,20060719090000,http://tong.visitkorea.or.kr/cms/resource/88/1982388_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/1982388_image3_1.jpg,Type3,128.8295937487,35.0006471157,6,20231106095233,1,,가덕도 등대,46771
부산광역시 강서구 천성동,,6,0,A01,A0101,A01010400,2726843,12,20210723203306,,,,128.8216713782,35.0317518247,6,20221213093859,1,,가덕도 연대봉,
부산광역시 강서구 대항동 393-9,(대항동),6,0,A01,A0101,A01011900,2789460,12,20211208224227,http://tong.visitkorea.or.kr/cms/resource/67/2800367_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2800367_image2_1.jpg,Type3,128.8274685924,35.0133095493,6,20221207112658,1,,가덕도대항인공동굴,46771
부산광역시 강서구 대항동,162-1,6,,A02,A0205,A02050600,3015365,12,20230925164008,http://tong.visitkorea.or.kr/cms/resource/22/3015322_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/22/3015322_image3_1.JPG,Type3,128.8310519246,35.0017831264,6,20230926105937,1,,가덕도외양포전망대,46771
경기 가평군 북면,,31,0,A01,A0101,A01010400,125462,12,20030331090000,http://tong.visitkorea.or.kr/cms/resource/23/1900123_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/1900123_image3_1.jpg,Type3,127.5683098007,37.9202321907,6,20231109162251,1,,가덕산,"477-840,1"
경상남도 거제시 남부면 다대리,(남부면),36,0,A01,A0101,A01010400,127257,12,20031029090000,,,,128.6303346514,34.7410502933,6,20231004111551,1,,가라산,53322
경상북도 영천시 화산면 가래실로 364,,35,0,A02,A0201,A02010600,2753576,12,20211006184631,,,,128.8892738816,36.0328070074,6,20231012135334,15,,가래실 문화마을,38808
전라북도 부안군 변산면 새만금로 447-27,,37,0,A01,A0101,A01011400,2743285,12,20210910222116,,,,126.5314023248,35.7269248004,6,20231101134225,6,,가력도항,56343
강원특별자치도 홍천군 내촌면 와야리,,32,0,A01,A0101,A01010800,125658,12,20030806090000,http://tong.visitkorea.or.kr/cms/resource/55/1842055_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/1842055_image3_1.jpg,Type3,128.1601919204,37.8328951114,7,20231117163615,16,,가령폭포,"250-863,3"
경기도 양평군 지평면 부일길 101,(지평면),31,0,A02,A0203,A02030100,1553085,12,20120216000046,http://tong.visitkorea.or.kr/cms/resource/63/2480263_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2480263_image2_1.jpg,Type3,127.6140193424,37.4517346633,6,20230217161904,19,,가루매마을,12544
경기도 포천시 이동면 장암리,,31,0,A01,A0101,A01010400,125463,12,20030725090000,http://tong.visitkorea.or.kr/cms/resource/29/1900129_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/1900129_image3_1.jpg,Type3,127.4028046120,38.0433008935,6,20231107095627,29,,가리산(포천),11111
강원특별자치도 홍천군 두촌면 가리산길 260-9,(두촌면),32,0,A01,A0101,A01010400,125593,12,20030327090000,http://tong.visitkorea.or.kr/cms/resource/86/609386_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/609386_image3_1.jpg,Type3,127.9566453426,37.8716589858,6,20231117175929,16,,가리산(홍천),25164
강원특별자치도 홍천군 두촌면 가리산길 426,(두촌면),32,0,A01,A0101,A01010600,126905,12,20030616090000,http://tong.visitkorea.or.kr/cms/resource/94/609394_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/609394_image3_1.jpg,Type3,127.9795073354,37.8656156746,6,20231117162733,16,,가리산자연휴양림,25164
강원특별자치도 정선군 정선읍 가리왕산로 707,"(가리왕산자연휴양림), 평창 진부면",32,0,A01,A0101,A01010400,127508,12,20031209090000,http://tong.visitkorea.or.kr/cms/resource/68/2987668_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/68/2987668_image3_1.png,Type1,128.5634777835,37.4618262980,6,20231122180232,11,,가리왕산,26119
강원특별자치도 정선군 북평면 중봉길 41-35,,32,,A02,A0203,A02030400,3068424,12,20231214095937,,,,128.6097538017,37.4742535268,6,20231214095956,11,033-560-3467,가리왕산케이블카,26100
전라남도 담양군 용면 용소길 261,,38,0,A01,A0101,A01010900,127423,12,20030925090000,http://tong.visitkorea.or.kr/cms/resource/35/3027135_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/3027135_image3_1.jpg,Type3,127.0227046757,35.4451873670,7,20231027175607,7,,가마골계곡,57300
전라남도 영광군 홍농읍 가마미로 355,,38,0,A01,A0101,A01011200,126289,12,20030707090000,http://tong.visitkorea.or.kr/cms/resource/63/3018763_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/3018763_image3_1.jpg,Type3,126.4090769892,35.3997293920,6,20231010121433,16,,가마미해수욕장,57000
전라북도 부안군 상서면 청림리,,37,0,A01,A0101,A01010900,1625067,12,20120509010149,http://tong.visitkorea.or.kr/cms/resource/72/1604272_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/1604272_image3_1.jpg,Type3,126.5979680020,35.6412495627,6,20231213105727,6,,가마소계곡,56343
제주특별자치도 제주시 한경면 청수서5길 63,,39,0,A01,A0101,A01010400,1884191,12,20140113184533,,,,126.2507039833,33.3059197039,6,20231210162114,4,,가마오름,63006
경기도 의왕시 양지편로 41-2,(청계동),31,0,A02,A0202,A02020700,2745573,12,20210915232109,,,,126.9956966089,37.3916915204,6,20231201101850,24,,가막들공원,16007
제주특별자치도 제주시 한경면 청수로 13-3,,39,0,A01,A0101,A01010400,1884202,12,20140113194252,http://tong.visitkorea.or.kr/cms/resource/01/1884201_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/1884201_image2_1.jpg,Type3,126.2460707194,33.3209235283,6,20231122150552,4,064-728-2742,가메창(암메),63006
경상남도 진주시 명석면 관덕길 174,(명석면),36,0,A02,A0203,A02030100,128498,12,20050512090000,http://tong.visitkorea.or.kr/cms/resource/48/2629048_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/48/2629048_image2_1.bmp,Type3,128.0324121006,35.2586565930,6,20230328111610,13,,가뫼골마을,52641
제주특별자치도 서귀포시 표선면 남조로 1487-73,,39,0,A01,A0101,A01010400,1884505,12,20140114192329,,,,126.6758204749,33.4019047149,6,20231208150559,3,,가문이오름(감은이오름),63622
경상남도 거제시 동부면 가배리,,36,0,A02,A0201,A02010200,127268,12,20040119090000,,,,128.5722052958,34.7817585943,6,20231004113802,1,,가배량성,53330
전라남도 진도군 조도면 가사도길 106,,38,0,A01,A0101,A01011300,578400,12,20080623192244,,,,126.0510003156,34.4789302819,6,20231208160845,21,,가사도,58953
전라남도 진도군 조도면 가사도돌목길,,38,0,A01,A0101,A01011600,129141,12,20060712090000,,,,126.0429125538,34.4611877004,6,20231205163727,21,,가사도 등대,58953
전라남도 완도군 약산면 해동리,,38,0,A01,A0101,A01011200,2615324,12,20190815012008,,,,126.9277952875,34.3698373475,6,20231210155713,18,,가사동백숲해변,59136
전라남도 완도군 약산면,,38,0,A01,A0101,A01011200,1916695,12,20140428232048,,,,126.9281702396,34.3704872810,6,20230705132330,18,,가사해수욕장,59136
충청북도 옥천군 안내면 안내회남로 671,,33,0,A02,A0201,A02010800,294369,12,20071126234108,,,,127.5973920906,36.4015885618,6,20231207162038,5,,가산사,29005
경상북도 칠곡군 가산면 가산로 891,,35,0,A02,A0203,A02030100,2629074,12,20191023014804,http://tong.visitkorea.or.kr/cms/resource/63/2629063_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/63/2629063_image2_1.bmp,Type3,128.5978129850,36.0501079498,6,20230308140211,22,,가산산성마을,39853
전라남도 장성군 삼서면 영장로 2015,,38,0,A02,A0201,A02010700,1957336,12,20141017190007,,,,126.6931003984,35.2313226604,6,20231204175524,19,,가산서원,57256
경상남도 양산시 동면 가산리 799,,36,0,A02,A0202,A02020700,2784347,12,20211201193109,http://tong.visitkorea.or.kr/cms/resource/72/2784372_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/72/2784372_image2_1.JPG,Type3,129.0178748959,35.2950648080,6,20230224113123,10,,가산수변공원,
경상북도 칠곡군 가산면 학하들안2길 105,,35,0,A01,A0101,A01010700,2633896,12,20191107222311,http://tong.visitkorea.or.kr/cms/resource/29/2638129_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/29/2638129_image2_1.JPG,Type3,128.4850691574,36.0861545517,6,20230320195449,22,,가산수피아,39849
제주특별자치도 제주시 오라삼동,2848,39,0,A01,A0101,A01010400,1884521,12,20140114193335,,,,126.5038611983,33.4893700755,6,20231210161039,4,064-740-6001,가새기오름,63148
