addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
경상북도 안동시 하회남촌길 69-5,,35,,B02,B0201,B02011600,2465071,32,20161220190700,http://tong.visitkorea.or.kr/cms/resource/00/2626200_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2626200_image3_1.jpg,Type3,128.5175868107,36.5376537450,6,20230413082505,11,054-855-8552,가경재,36760
서울특별시 송파구 송파대로28길 5,(가락동),1,,B02,B0201,B02010100,142785,32,20040426090000,,,,127.1166298703,37.4966565128,6,20221227152917,18,02-400-6641~3,가락관광호텔,05719
전라북도 전주시 완산구 한지길 68,(풍남동3가),37,,B02,B0201,B02011600,2671267,32,20200908224549,,,,127.1535667664,35.8173223769,,20200908230703,12,,가락청,55041
경기도 파주시 소라지로327번길 126-21,(송촌동),31,,B02,B0201,B02011600,2627867,32,20191021220426,,,,126.6891949040,37.7547493903,,20201224014445,27,,가람나무,10863
경상북도 안동시 풍천면 하회종가길 76-6,(풍천면),35,,B02,B0201,B02011600,1865597,32,20131202181422,http://tong.visitkorea.or.kr/cms/resource/48/2993048_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/2993048_image3_1.jpg,Type1,128.5163479914,36.5390674494,6,20230901161045,11,010-3849-7542,가람초연재[한국관광 품질인증/Korea Quality],36760
제주특별자치도 서귀포시 법환하로9번길 10,,39,,B02,B0201,B02010700,1896032,32,20140219003733,,,,126.5123383804,33.2365870334,6,20230601145334,3,064-739-4499,가름게스트하우스,63573
강원특별자치도 인제군 인제읍 대목리길 137,,32,,B02,B0201,B02010700,2571998,32,20181201005923,http://tong.visitkorea.or.kr/cms/resource/37/2571137_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/37/2571137_image2_1.jpeg,Type3,128.3383767680,38.0731872541,,20230702184958,10,033-463-1212,가리벨리 관광펜션(가리벨리관광펜션휴양타운),24643
강원특별자치도 정선군 정선읍 청량길 32,,32,,B02,B0201,B02010700,582215,32,20080702182139,http://tong.visitkorea.or.kr/cms/resource/09/582509_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/582509_image3_1.jpg,Type3,128.5773915547,37.4241170266,6,20230702183635,11,033-562-1665,가리왕산이야기 펜션,26119
경기도 구리시 안골로 70,,31,,B02,B0201,B02010900,1781984,32,20130117230401,,,,127.1388777598,37.5972257905,6,20231017153127,6,031-563-0444,가바나모텔,11933
경기도 평택시 평택5로76번길 18-10,,31,,B02,B0201,B02010100,143017,32,20030806090000,http://tong.visitkorea.or.kr/cms/resource/83/1942883_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/1942883_image3_1.jpg,Type3,127.1128582139,36.9932008224,6,20231025133555,28,0507-1396-7702,가보호텔,17885
